Unnamed: 0.1,Unnamed: 0,lat,lon,timestamp,datetime,time_delta,distance_Olin,distance_to_chosen
32,909810,39.8484235,-104.673838,2022-03-09 12:47:35.888000+00:00,2022-03-09 12:47:35.888000+00:00,0 days 00:02:00.495000,1305.5618707807405,1314.7313318146116
33,909811,39.8483944,-104.6737816,2022-03-09 12:48:35.411000+00:00,2022-03-09 12:48:35.411000+00:00,0 days 00:00:59.523000,1305.5676624771177,1314.7371287066576
34,909812,39.848578,-104.6737503,2022-03-09 12:51:02.873000+00:00,2022-03-09 12:51:02.873000+00:00,0 days 00:02:27.462000,1305.557687195561,1314.7272644264458
35,909813,39.8486004,-104.6738273,2022-03-09 12:51:34.460000+00:00,2022-03-09 12:51:34.460000+00:00,0 days 00:00:31.587000,1305.5509243082947,1314.720485066994
36,909814,39.8485881,-104.6737696,2022-03-09 12:54:02.910000+00:00,2022-03-09 12:54:02.910000+00:00,0 days 00:02:28.450000,1305.55569590989,1314.7252714398871
37,909815,39.8485312,-104.6737455,2022-03-09 12:55:28.214000+00:00,2022-03-09 12:55:28.214000+00:00,0 days 00:01:25.304000,1305.5611067615505,1314.7306604436842
38,909816,39.8485949,-104.6738746,2022-03-09 12:56:28.202000+00:00,2022-03-09 12:56:28.202000+00:00,0 days 00:00:59.988000,1305.5480416946232,1314.7175819096847
39,909817,39.8487173,-104.6738503,2022-03-09 12:57:36.703000+00:00,2022-03-09 12:57:36.703000+00:00,0 days 00:01:08.501000,1305.541627209013,1314.7112427009247
40,909818,39.8491598,-104.6738492,2022-03-09 12:58:10.124000+00:00,2022-03-09 12:58:10.124000+00:00,0 days 00:00:33.421000,1305.5124855164556,1314.6823409340006
41,909819,39.8490945,-104.67385,2022-03-09 12:58:45.254000+00:00,2022-03-09 12:58:45.254000+00:00,0 days 00:00:35.130000,1305.5167421411606,1314.6865619156538
42,909820,39.8490924,-104.6738521,2022-03-09 12:59:17.586000+00:00,2022-03-09 12:59:17.586000+00:00,0 days 00:00:32.332000,1305.516736690235,1314.6865545481564
43,909821,39.8490827,-104.6738661,2022-03-09 13:00:23.848000+00:00,2022-03-09 13:00:23.848000+00:00,0 days 00:01:06.262000,1305.5164164372998,1314.6862238455958
44,909822,39.8538052,-104.6739882,2022-03-09 13:01:23.711000+00:00,2022-03-09 13:01:23.711000+00:00,0 days 00:00:59.863000,1305.19629254239,1314.3686110927047
45,909823,39.8539657,-104.673809,2022-03-09 13:04:23.735000+00:00,2022-03-09 13:04:23.735000+00:00,0 days 00:03:00.024000,1305.1979990770942,1314.370471036265
46,909824,39.8630586,-104.6737524,2022-03-09 13:05:18.908000+00:00,2022-03-09 13:05:18.908000+00:00,0 days 00:00:55.173000,1304.6020299331628,1313.7794465812187
47,909825,39.8629753,-104.6738403,2022-03-09 13:05:50.874000+00:00,2022-03-09 13:05:50.874000+00:00,0 days 00:00:31.966000,1304.6014880639814,1313.7788270033252
48,909826,39.8628589,-104.6738702,2022-03-09 13:06:22.795000+00:00,2022-03-09 13:06:22.795000+00:00,0 days 00:00:31.921000,1304.607111034617,1313.7843758458002
49,909827,39.8629663,-104.6740207,2022-03-09 13:06:58.651000+00:00,2022-03-09 13:06:58.651000+00:00,0 days 00:00:35.856000,1304.589696051204,1313.7669632199497
50,909828,39.863036,-104.6747535,2022-03-09 13:07:30.704000+00:00,2022-03-09 13:07:30.704000+00:00,0 days 00:00:32.053000,1304.534789225042,1313.711822392847
51,909829,39.8630514,-104.6745241,2022-03-09 13:08:06.733000+00:00,2022-03-09 13:08:06.733000+00:00,0 days 00:00:36.029000,1304.5495231334455,1313.7266497147061
52,909830,39.8629387,-104.6746607,2022-03-09 13:09:26.381000+00:00,2022-03-09 13:09:26.381000+00:00,0 days 00:01:19.648000,1304.5475768079018,1313.7245916911065
53,909831,39.8630583,-104.6745212,2022-03-09 13:10:02.640000+00:00,2022-03-09 13:10:02.640000+00:00,0 days 00:00:36.259000,1304.549267220584,1313.726398614435
54,909832,39.8630155,-104.6745495,2022-03-09 13:11:34.718000+00:00,2022-03-09 13:11:34.718000+00:00,0 days 00:01:32.078000,1304.5501466856992,1313.7272444035202
55,909833,39.8612195,-104.6746338,2022-03-09 13:13:21.093000+00:00,2022-03-09 13:13:21.093000+00:00,0 days 00:01:46.375000,1304.6628049516248,1313.838898694316
56,909834,39.8630015,-104.6745891,2022-03-09 13:14:43.470000+00:00,2022-03-09 13:14:43.470000+00:00,0 days 00:01:22.377000,1304.5483511684774,1313.7254266181499
57,909835,39.8630569,-104.6741552,2022-03-09 13:15:11.156000+00:00,2022-03-09 13:15:11.156000+00:00,0 days 00:00:27.686000,1304.5744874226389,1313.7517537838967
58,909836,39.8631668,-104.6744253,2022-03-09 13:22:16.263000+00:00,2022-03-09 13:22:16.263000+00:00,0 days 00:07:05.107000,1304.548696409016,1313.7259221314728
59,909837,39.8630266,-104.6746817,2022-03-09 13:29:04.247000+00:00,2022-03-09 13:29:04.247000+00:00,0 days 00:06:47.984000,1304.540338520116,1313.7173932238136
60,909838,39.8636571,-104.6728117,2022-03-09 13:35:51.037000+00:00,2022-03-09 13:35:51.037000+00:00,0 days 00:06:46.790000,1304.6271516040997,1313.8052411765036
